 * Running on http://195.251.251.27:8080/ (Press CTRL+C to quit)
195.251.251.27 - - [27/Feb/2019 21:17:49] "GET / HTTP/1.1" 404 -
195.251.251.22 - - [27/Feb/2019 21:17:52] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [27/Feb/2019 21:17:52] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [27/Feb/2019 21:17:52] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [27/Feb/2019 21:17:52] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [27/Feb/2019 21:17:52] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [27/Feb/2019 21:17:52] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [27/Feb/2019 21:17:52] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [27/Feb/2019 21:17:52] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [27/Feb/2019 21:17:52] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [27/Feb/2019 21:17:52] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [27/Feb/2019 21:17:52] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [27/Feb/2019 21:17:52] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [27/Feb/2019 21:17:52] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [27/Feb/2019 21:17:52] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [27/Feb/2019 21:17:52] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [27/Feb/2019 21:17:52] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [27/Feb/2019 21:17:52] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [27/Feb/2019 21:17:52] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [27/Feb/2019 21:17:52] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [27/Feb/2019 21:17:52] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [27/Feb/2019 21:17:52] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [27/Feb/2019 21:17:52] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [27/Feb/2019 21:17:52] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [27/Feb/2019 21:17:52] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [27/Feb/2019 21:17:52] "POST /helloWord HTTP/1.1" 200 -
