 * Running on http://195.251.251.27:8080/ (Press CTRL+C to quit)
195.251.251.27 - - [02/Mar/2019 12:59:02] "GET / HTTP/1.1" 404 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [02/Mar/2019 12:59:04] "POST /helloWord HTTP/1.1" 200 -
