+ go run ../tasks//go/rpc/server.go
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:22 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
2018/05/15 18:45:23 Hello World %!d(string=Stefanos) 
