+ go run ../tasks//go/rpc/server.go
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:57 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
2018/05/15 17:29:58 Hello World %!d(string=Stefanos) 
