 * Running on http://195.251.251.27:8080/ (Press CTRL+C to quit)
195.251.251.27 - - [21/Feb/2019 09:32:09] "GET / HTTP/1.1" 404 -
195.251.251.22 - - [21/Feb/2019 09:32:13] "POST /api HTTP/1.1" 200 -
195.251.251.22 - - [21/Feb/2019 09:32:13] "POST /api HTTP/1.1" 200 -
195.251.251.22 - - [21/Feb/2019 09:32:13] "POST /api HTTP/1.1" 200 -
195.251.251.22 - - [21/Feb/2019 09:32:13] "POST /api HTTP/1.1" 200 -
195.251.251.22 - - [21/Feb/2019 09:32:13] "POST /api HTTP/1.1" 200 -
195.251.251.22 - - [21/Feb/2019 09:32:13] "POST /api HTTP/1.1" 200 -
195.251.251.22 - - [21/Feb/2019 09:32:13] "POST /api HTTP/1.1" 200 -
195.251.251.22 - - [21/Feb/2019 09:32:13] "POST /api HTTP/1.1" 200 -
195.251.251.22 - - [21/Feb/2019 09:32:13] "POST /api HTTP/1.1" 200 -
195.251.251.22 - - [21/Feb/2019 09:32:13] "POST /api HTTP/1.1" 200 -
195.251.251.22 - - [21/Feb/2019 09:32:13] "POST /api HTTP/1.1" 200 -
195.251.251.22 - - [21/Feb/2019 09:32:13] "POST /api HTTP/1.1" 200 -
195.251.251.22 - - [21/Feb/2019 09:32:13] "POST /api HTTP/1.1" 200 -
195.251.251.22 - - [21/Feb/2019 09:32:13] "POST /api HTTP/1.1" 200 -
195.251.251.22 - - [21/Feb/2019 09:32:13] "POST /api HTTP/1.1" 200 -
195.251.251.22 - - [21/Feb/2019 09:32:13] "POST /api HTTP/1.1" 200 -
195.251.251.22 - - [21/Feb/2019 09:32:13] "POST /api HTTP/1.1" 200 -
195.251.251.22 - - [21/Feb/2019 09:32:13] "POST /api HTTP/1.1" 200 -
195.251.251.22 - - [21/Feb/2019 09:32:13] "POST /api HTTP/1.1" 200 -
195.251.251.22 - - [21/Feb/2019 09:32:13] "POST /api HTTP/1.1" 200 -
