 * Running on http://195.251.251.27:8080/ (Press CTRL+C to quit)
195.251.251.27 - - [15/Mar/2019 19:56:34] "GET / HTTP/1.1" 404 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:34] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:35] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:35] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:35] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:35] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:35] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:35] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:35] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:35] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:35] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:35] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:35] "POST /helloWord HTTP/1.1" 200 -
195.251.251.22 - - [15/Mar/2019 19:56:35] "POST /helloWord HTTP/1.1" 200 -
